"Name of the Institution","Program","Level","Accreditation Status","Accreditation Period"
"Annamalai University (Annamalai Nagar)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","5 years w.e.f. 21/02/1998"
"Annamalai University (Annamalai Nagar)","CIVIL ENGINEERING","UG","ACCREDITED","5 years w.e.f. 06/08/2002"
"Annamalai University (Annamalai Nagar)","CIVIL AND STRUCTURAL ENGINEERING","UG","ACCREDITED","5 years w.e.f. 06/08/2002"
"Annamalai University (Annamalai Nagar)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","5 years w.e.f. 06/08/2002"
"Annamalai University (Annamalai Nagar)","CHEMICAL ENGINEERING","UG","ACCREDITED","5 years w.e.f. 06/08/2002"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Automobile Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"ANNAPOORANA ENGINEERING COLLEGE (Salem)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"ARASU ENGINEERING COLLEGE (KUMBAKONAM)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.29-5-2009"
"ARASU ENGINEERING COLLEGE (KUMBAKONAM)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ARASU ENGINEERING COLLEGE (KUMBAKONAM)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further accredited for 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"ARASU ENGINEERING COLLEGE (KUMBAKONAM)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Arulmigu Meenakshi Amman College of Engineering (Thiruvannamalai)","CIVIL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"Arulmigu Meenakshi Amman College of Engineering (Thiruvannamalai)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 11-06-2004"
"Arulmigu Meenakshi Amman College of Engineering (Thiruvannamalai)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 27-07-2006"
"Arulmigu Meenakshi Amman College of Engineering (Thiruvannamalai)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 27-07-2006"
"Arulmigu Meenakshi Amman College of Engineering (Thiruvannamalai)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 19-07-2008"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 24-04-2002"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","INDUSTRIAL BIOTECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","CAD/CAM","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","POWER ELECTRONICS AND DRIVES","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","ELECTRONICS AND INSTRUMENTATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 16-09-2011"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Biotechnology","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Biotechnology","Under Graduate","ACCREDITED","Academic Year 2014-15 and 2015-16,i.e., upto 30-06-2016"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Chemical Engineering","Under Graduate","ACCREDITED","Academic Year 2014-15 and 2015-16,i.e., upto 30-06-2016"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Information Technology","Under Graduate","ACCREDITED","Academic Years 2023-24, 2024-25 and 2025-26, i.e., upto 30/06/2026"
"ARUNAI ENGINEERING COLLEGE (TIRUVANNAMALAI)","Electrical and Electronics Engineering","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30-06-2025"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"AVC COLLEGE OF ENGINEERING (MAYILADUTHURAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 15-3-2012"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 06-08-2002"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 06-08-2002"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","POLYMER TECHNOLOGY","UG","ACCREDITED","5 YEARS W.E.F. 06-08-2002"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 30-03-2006"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 30-03-2006"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 30-03-2006"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 27-07-2006"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 27-07-2006"
"B.S. ABDUR RAHMAN UNIVERSITY (CHENNAI)","POLYMER TECHNOLOGY","UG","ACCREDITED","5 YEARS W.E.F. 19-07-2008"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.7-5-2003"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","TEXTILE TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.7-5-2003"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.11-6-2004"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.31-3-2006"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.31-3-2006"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.31-3-2006"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.16-3-2007"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","TEXTILE TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.16-3-2007"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.13-2-2009"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.13-2-2009"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","BIOTECHNOLOGY","UG","ACCREDITED","5 YEARS W.E.F.13-12-2011"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.13-12-2011"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F.13-12-2011"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.13-12-2011"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 YERAS W.E.F. 4-1-2013"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","TEXTILE TECHNOLOGY","UG","ACCREDITED","5 YERAS W.E.F. 4-1-2013"
"BANNARI AMMAN INSTITUTE OF TECHNOLOGY (ERODE)","TEXTILE TECHNOLOGY (FASHION TECHNOLOGY)","UG","ACCREDITED","5 YERAS W.E.F. 4-1-2013"
"Bharath Institute of Science & Technology (Chennai)","CIVIL ENGINEERING","UG","ACCREDITED","5 years w.e.f 24.04.2002"
"Bharath Institute of Science & Technology (Chennai)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 years w.e.f 24.04.2002"
"Bharath Institute of Science & Technology (Chennai)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 years w.e.f 24.04.2002"
"Bharath Institute of Science & Technology (Chennai)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 years w.e.f. 06-08-2002"
"Bharath Institute of Science & Technology (Chennai)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 years w.e.f. 06-08-2002"
"Bharath Institute of Science & Technology (Chennai)","INSTRUMENTATION AND CONTROL ENGINEERING","UG","ACCREDITED","3 years w.e.f. 06-08-2002"
"Bharath Institute of Science & Technology (Chennai)","LEATHER TECHNOLOGY","UG","ACCREDITED","3 years w.e.f. 06-08-2002"
"BUILDERS ENGINEERING COLLEGE (Erode)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"BUILDERS ENGINEERING COLLEGE (Erode)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"BUILDERS ENGINEERING COLLEGE (Erode)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"BUILDERS ENGINEERING COLLEGE (Erode)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"BUILDERS ENGINEERING COLLEGE (Erode)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 04-05-2007"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 19-07-2008"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 19-07-2008"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 05-08-2013"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","2 YEARS W.E.F. 01-07-2014"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","2 YEARS W.E.F. 01-07-2014"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","Information Technology","Under Graduate","ACCREDITED","Academic Year 020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023; Further Accredited for Academic Year 2023-24, 2024-25 and 2025-26, i.e., upto 30/06/2026"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"C.ABDUL HAKEEM COLLEGE OF ENGINEERING AND TECHNOLOGY (VILLORE)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023"
"CARE College of Engineering (Tiruchirappalli)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"CARE College of Engineering (Tiruchirappalli)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"CARE College of Engineering (Tiruchirappalli)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"Chennai Institute of Technology (Kancheepuram)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26, 2026-27, 2027-28, 2028-29 and 2029-30, i.e., 30-06-2030"
"Chennai Institute of Technology (Kancheepuram)","Mechatronics Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"Chennai Institute of Technology (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2024-25, 2025-26 and 2026-27, i.e., upto 30/06/2027"
"Chennai Institute of Technology (Kancheepuram)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Chennai Institute of Technology (Kancheepuram)","Mechatronics Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Chennai Institute of Technology (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23, 2023-24, 2024-25, 2025-26 and 2026-27, i.e. upto 30-06-2027"
"Chennai Institute of Technology (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23, 2023-24, 2024-25, 2025-26 and 2026-27, i.e. upto 30-06-2027"
"Chennai Institute of Technology (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2021-22, 2022-23 and 2023-24, i.e. upto 30-06-2024"
"Chennai Institute of Technology (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Chennai Institute of Technology (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Chennai Institute of Technology (Kancheepuram)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Chennai Institute of Technology (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20 and 2020-21, i.e., upto 30-06-2021"
"Chennai Institute of Technology (Kancheepuram)","Civil Engineering","Under Graduate","ACCREDITED","Academic year 2023-24, 2024-25 and 2025-26, i.e. upto 30-06-2026"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 12-01-2005"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","CIVIL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","5 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","CHEMICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"COIMBATORE INSTITUTE OF TECHNOLOGY (COIMBATORE)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F. 10-02-2009"
"College of Engineering, Guindy (Chennai)","CIVIL ENGINEERING","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","MECHANICAL ENGINEERING","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","PRINTING TECHNOLOGY","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","INDUSTRIAL ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","Geo-Informatics","UG","ACCREDITED","5 Years w.e.f. 20-07-2005"
"College of Engineering, Guindy (Chennai)","Mining Engineering","UG","ACCREDITED","3 Years w.e.f. 13-03-2009"
"College of Engineering, Guindy (Chennai)","MANUFACTURING ENGINEERING","UG","ACCREDITED","3 Years w.e.f. 13-03-2009"
"College of Engineering, Guindy (Chennai)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 Years w.e.f. 13-03-2009"
"College of Engineering, Guindy (Chennai)","POWER SYSTEMS","UG","ACCREDITED","5 Years w.e.f. 15-03-2012"
"CSI COLLEGE OF ENGINEERING (NEAREST TOWN OOTY)","MECHANICAL ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"CSI COLLEGE OF ENGINEERING (NEAREST TOWN OOTY)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"CSI COLLEGE OF ENGINEERING (NEAREST TOWN OOTY)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"CSI COLLEGE OF ENGINEERING (NEAREST TOWN OOTY)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 YEARS W.E.F.5-5-2009"
"CSIR -Central Electrochemical Research Institute (Sivaganga)","Chemical and Electrochemical Engineering","Under Graduate","ACCREDITED","Academic Year 2022-23, 2023-24, 2024-25, 2025-26, 2026-27 and 2027-28, i.e., upto 30-06-2028"
"DHANALAKSHMI COLLEGE OF ENGINEERING (Kancheepuram)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"DHANALAKSHMI COLLEGE OF ENGINEERING (Kancheepuram)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019"
"DHANALAKSHMI COLLEGE OF ENGINEERING (Kancheepuram)","Electronics & Communication Engineering","Under Graduate","ACCREDITED","Academic Year 2016-17, 2017-18 and 2018-19, i.e., upto 30-06-2019; Further accredited from Academic Year 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022"
"DHANALAKSHMI COLLEGE OF ENGINEERING (Kancheepuram)","Information Technology","Under Graduate","ACCREDITED","Academic year 2016-17 and 2017-18, i.e., upto 30-06-2018"
"Dhanalakshmi College of Engineering, Chennai (Chennai)","COMPUTER SCIENCE AND ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Dhanalakshmi College of Engineering, Chennai (Chennai)","ELECTRICAL AND ELECTRONICS ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Dhanalakshmi College of Engineering, Chennai (Chennai)","INFORMATION TECHNOLOGY","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"Dhanalakshmi College of Engineering, Chennai (Chennai)","ELECTRONICS AND COMMUNICATION ENGINEERING","UG","ACCREDITED","3 years w.e.f 16.04.2009"
"DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING (Coimbotore)","Civil Engineering","Under Graduate","ACCREDITED","Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023. Further Accredited for Academic Year 2023-24, 2024-25 and 2025-26, i.e., upto 30-06-2026"
"DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING (Coimbotore)","Mechanical Engineering","Under Graduate","ACCREDITED","Academic Year 2020-21, 2021-22 and 2022-23, i.e., upto 30-06-2023. Further Accredited for Academic Year 2023-24, 2024-25 and 2025-26, i.e., upto 30-06-2026"
"DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING (Coimbotore)","Computer Science and Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
"DHANALAKSHMI SRINIVASAN COLLEGE OF ENGINEERING (Coimbotore)","Electrical & Electronics Engineering","Under Graduate","ACCREDITED","Academic Year 2018-19, 2019-20, 2020-21 and 2021-22, i.e., upto 30-06-2022; Further Accredited for Academic Year 2022-23, 2023-24 and 2024-25, i.e., upto 30/06/2025"
